category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close
base-depos,bloomberg,daily,MXN1W,LDN,close,MPDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN2W,LDN,close,MPDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN3W,LDN,close,MPDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN1M,LDN,close,MPDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN2M,LDN,close,MPDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN3M,LDN,close,MPDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN4M,LDN,close,MPDRD CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN6M,LDN,close,MPDRF CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN9M,LDN,close,MPDRI CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN1Y,LDN,close,MPDR1 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN2Y,LDN,close,MPDR2 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN3Y,LDN,close,MPDR3 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,MXN5Y,LDN,close,MPDR5 CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUDON,LDN,close,ADDR1T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUDTN,LDN,close,ADDR2T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUDSN,LDN,close,ADDR3T CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD1W,LDN,close,ADDR1Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD2W,LDN,close,ADDR2Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD3W,LDN,close,ADDR3Z CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD1M,LDN,close,ADDRA CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD2M,LDN,close,ADDRB CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD3M,LDN,close,ADDRC CMPL Index,6:00pm LDN
base-depos,bloomberg,daily,AUD4M,LDN,close,ADDRD CMPL Index,6:00pm LDN
