category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close,ldn-close,,
fx,bloomberg,daily,USDCOP,10AM,"close,open,high,low",USDCOP F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDPLN,10AM,"close,open,high,low",USDPLN F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDHUF,10AM,"close,open,high,low",USDHUF F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDCZK,10AM,"close,open,high,low",USDCZK F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDILS,10AM,"close,open,high,low",USDILS F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDRUB,10AM,"close,open,high,low",USDRUB F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDZAR,10AM,"close,open,high,low",USDZAR F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDTRY,10AM,"close,open,high,low",USDTRY F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDKRW,10AM,"close,open,high,low",USDKRW F100 Curncy,10:00am NYC,,,
fx,bloomberg,daily,USDTWD,10AM,"close,open,high,low",USDTWD F100 Curncy,10:00am NYC,,,
